                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.95003,                0.66211,                 1.1841,                0.84599,                0.79547,                0.84933,                0.56896,                 1.0722,                0.68526,                 1.1837,             0.00074804,             0.00074804,             0.00074804
                     36,                 0.9334,                0.65365,                 1.1707,                0.83477,                0.82459,                0.87502,                0.58832,                 1.0398,                0.63225,                 1.1731,             0.00073704,             0.00073704,             0.00073704
                     37,                0.95281,                0.66005,                 1.1731,                0.83211,                0.85134,                0.87494,                0.58915,                 1.0543,                 0.6598,                 1.1775,             0.00072604,             0.00072604,             0.00072604
                     38,                0.94743,                0.65154,                 1.1791,                0.86367,                0.86827,                0.90455,                0.59413,                 1.0609,                0.59142,                 1.1736,             0.00071504,             0.00071504,             0.00071504
                     39,                0.94378,                0.65458,                 1.1836,                0.81343,                0.88285,                0.87047,                0.58208,                 1.0514,                0.61226,                 1.1728,             0.00070404,             0.00070404,             0.00070404
                     40,                0.93739,                0.63787,                 1.1753,                0.83706,                0.90896,                0.91109,                0.60401,                 1.0359,                0.59392,                 1.1599,             0.00069304,             0.00069304,             0.00069304
                     41,                0.90741,                0.61492,                 1.1563,                0.84415,                 0.9109,                0.90804,                0.60922,                 1.0341,                 0.5858,                 1.1639,             0.00068204,             0.00068204,             0.00068204
                     42,                 0.9235,                0.61981,                 1.1672,                0.82964,                0.91327,                0.91639,                0.60792,                 1.0395,                0.58305,                 1.1778,             0.00067104,             0.00067104,             0.00067104
                     43,                0.93109,                0.62633,                 1.1665,                0.76147,                0.88405,                0.86495,                0.58219,                 1.0393,                0.63202,                 1.1669,             0.00066005,             0.00066005,             0.00066005
                     44,                0.93096,                 0.6084,                 1.1614,                0.85976,                0.87812,                0.89991,                0.59868,                  1.046,                0.58428,                 1.1636,             0.00064905,             0.00064905,             0.00064905
                     45,                0.91534,                0.62666,                 1.1672,                0.85148,                 0.9001,                 0.9215,                 0.5929,                 1.0715,                0.61563,                 1.1796,             0.00063805,             0.00063805,             0.00063805
                     46,                 0.9276,                0.62371,                  1.177,                 0.8443,                0.89774,                 0.9084,                0.60209,                 1.0457,                0.59781,                 1.1634,             0.00062705,             0.00062705,             0.00062705
                     47,                0.91271,                0.60619,                 1.1676,                0.84032,                0.89912,                 0.8982,                0.59971,                 1.0387,                0.56689,                 1.1547,             0.00061605,             0.00061605,             0.00061605
